mean_yaw,std_yaw,yaw_range,mean_pitch,std_pitch,pitch_range,mean_roll,std_roll,looking_down_ratio,mean_downward_severity,max_downward_severity,forward_ratio,away_ratio,face_visible_ratio,head_movement,orientation_change_rate,mean_confidence,label
0.080936968290925,0.010995541189021978,0.04885117143178904,0.5414790583717685,0.00799801260909148,0.03479015705315913,-0.10973434535347712,0.9239480956431305,0.0,0.0,0.0,1.0,0.0,1.0,0.01821960883726406,0.0,0.9456106490559049,Engaged
0.08249458403686742,0.012025344026874756,0.056238477421902265,0.54219687106235,0.007930142928296111,0.03519146585888111,-0.2478446275240671,0.9640148947249008,0.0,0.0,0.0,1.0,0.0,1.0,0.01984129563094136,0.0,0.9453652406993666,Engaged
0.08486342719713291,0.01104766078607885,0.04867775809908827,0.5441810246849443,0.006952466161251138,0.03256763415304176,-0.48997865321947814,0.849631088186852,0.0,0.0,0.0,1.0,0.0,1.0,0.02020144490369739,0.0,0.9446383943924537,Engaged
0.086784509563923,0.011257023614413586,0.04867775809908827,0.5445590336859505,0.006281787458469663,0.03256763415304176,-0.7067737435525613,0.7319010847355695,0.0,0.0,0.0,1.0,0.0,1.0,0.019420438052253467,0.0,0.9441051070506756,Engaged
0.08736386537368093,0.010984654533256743,0.04867775809908827,0.5455670992195937,0.007162103667755407,0.04043022113709227,-0.7557894094362245,0.7862275421683099,0.0,0.0,0.0,1.0,0.0,1.0,0.01944063216289083,0.0,0.9434822556338732,Engaged
0.08876729167822506,0.010953184642044986,0.0515404860891581,0.547233682959439,0.008312954031237321,0.04130267355515227,-0.7393455466520263,0.8402028387641145,0.0,0.0,0.0,1.0,0.0,1.0,0.0213900337821901,0.0,0.9430263366880296,Engaged
0.09375736684048908,0.015373474756159869,0.08477229767086983,0.5486887548589175,0.010841850019456636,0.053126218511853174,-0.5013642469467053,1.1090983225925202,0.0,0.0,0.0,1.0,0.0,1.0,0.024375370684117513,0.0,0.9421453521801875,Engaged
0.0963664562493873,0.015235636221430536,0.08477229767086983,0.5494412348907173,0.010993219007800415,0.053126218511853174,-0.6066436223491577,1.1397523423739186,0.0,0.0,0.0,1.0,0.0,1.0,0.022500475689867308,0.0,0.9419776441214921,Engaged
0.09898775147110989,0.015727693038023,0.08477229767086983,0.5502384541784147,0.01108195265890899,0.053126218511853174,-0.6665240842739645,1.2294347634357927,0.0,0.0,0.0,1.0,0.0,1.0,0.022829987188437165,0.0,0.9422411267694674,Engaged
0.10129019021783997,0.017425721714871365,0.09486518884527764,0.5508833185164285,0.013827920802308286,0.07860646275241212,-0.46540752497618926,1.3045075651706075,0.0,0.0,0.0,1.0,0.0,1.0,0.026016777813883122,0.0,0.9417277950989572,Engaged
0.11312720848075282,0.026119328021232725,0.12979668200160913,0.548938609368906,0.015313473703837711,0.08432635436252295,-0.6483500815313367,1.3969120607236896,0.0,0.0,0.0,1.0,0.0,1.0,0.026142068015055586,0.0,0.942400093141355,Engaged
0.1277994042683637,0.03153400425342778,0.14391827773532792,0.5447719349036664,0.016056476744478954,0.08432635436252295,-1.1459530836148706,1.6315071922207318,0.0,0.0,0.0,1.0,0.0,1.0,0.024034993633769198,0.0,0.9432243438143479,Engaged
