mean_yaw,std_yaw,mean_pitch,std_pitch,mean_roll,std_roll,looking_down_ratio,forward_ratio,face_visible_ratio,head_movement,mean_confidence,label
0.09522980553532158,0.01794645243622207,0.5838340022630107,0.01068250574282117,0.7925195610907022,0.826761250704553,0.0,1.0,1.0,0.01929735703681915,0.9429993209291677,Engaged
0.09311588586839847,0.01746889223170673,0.5833134773028579,0.010148470411330131,0.7500014694224515,0.8157699271025647,0.0,1.0,1.0,0.019972418954974185,0.9433570713610262,Engaged
0.08868916733930964,0.014561052067392881,0.580952191166409,0.008069679367507774,0.7711585792055101,0.8259431169497367,0.0,1.0,1.0,0.01974132294670241,0.943870460987091,Engaged
0.08507671566276956,0.010953746220633285,0.5801171952734197,0.007602417265850755,0.7062903723656541,0.8234922530759233,0.0,1.0,1.0,0.020360914271982427,0.9444902060847533,Engaged
0.0790060527798222,0.021593183329303597,0.5791468808475916,0.011212062907681626,0.5087096321860675,0.8431780648646705,0.0,1.0,1.0,0.021323649291406226,0.944386352049677,Engaged
0.08024460559064807,0.044000650777079674,0.5737491428994987,0.016098804920421036,0.2117699457742438,1.1789101701937998,0.0,1.0,1.0,0.024651808807606288,0.9437414180291327,Engaged
0.1425995432285938,0.1512499237895387,0.5609220886244564,0.0293224937366766,-1.0366266223992227,2.8932641958065295,0.0,0.8289473684210527,1.0,0.029230306827553024,0.9413594642752096,Engaged
0.1707949565660545,0.18126324274366942,0.5531822375851919,0.031273304665668474,-1.409334435044302,3.72967395292227,0.0,0.7466666666666667,1.0,0.037913602468540676,0.9398975523312887,Engaged
0.1356761365617127,0.21301090286697355,0.5472587390821325,0.028543361611003425,-0.25168164005412685,5.239197350705256,0.0,0.75,1.0,0.03963413332078822,0.9390904668130373,Engaged
0.13183035217615738,0.2141303184757132,0.5465198298465549,0.02768774600740455,-0.5174455967540844,5.260653616166722,0.0,0.75,1.0,0.03775125101440616,0.9389665613048955,Engaged
0.13149682054108,0.2142614517749258,0.5499873542396113,0.031078141352704997,-0.5368933731597071,5.252389222068348,0.0,0.75,1.0,0.040596157972571954,0.9405961428817949,Engaged
0.12075471007257237,0.21142376388088496,0.5614523706019624,0.03983739669062556,-0.07325512586807757,5.24707138908462,0.0,0.7631578947368421,1.0,0.03591632843165163,0.9425045275374463,Engaged
0.05395731849807149,0.14740136088357983,0.5768743151413346,0.03409867547090382,1.6075908916701738,4.382089358871635,0.0,0.922077922077922,1.0,0.03398004442917333,0.9457959122471995,Engaged
0.022219596443837954,0.07473250932874377,0.5813567526635537,0.028863116278980964,2.3639426773561807,3.4017673406315687,0.0,1.0,1.0,0.027254794769807213,0.9474512567886939,Engaged
0.08525130708579359,0.024473736992776652,0.537090174323555,0.01914383686755091,1.335511037875649,0.9792289038484757,0.0,1.0,1.0,0.02873224328076513,0.9441730797290802,Neutral
0.07693278386973196,0.030393225276341272,0.5361922160560215,0.019476920205100046,1.3083658101116324,1.0322817769796249,0.0,1.0,1.0,0.030855702434089763,0.9434066961889398,Neutral
0.04957561092465334,0.06241995232555319,0.5367130024782063,0.019794066478809248,1.3446178779435898,1.484293016611922,0.0,1.0,1.0,0.03622560521675263,0.942872994740804,Neutral
0.033088503664581055,0.06153098613869642,0.538294341548006,0.020037537051924202,0.9115231484656815,1.836687174328806,0.0,1.0,1.0,0.035464651181458945,0.9428024244935889,Neutral
0.050344360486589426,0.09874193198571089,0.5388125792003693,0.020239929661424766,0.261027398639362,2.2681112751738954,0.0,0.9605263157894737,1.0,0.04020144817199675,0.9419360866672114,Neutral
0.10102414608379304,0.16263473047134322,0.539017545409083,0.018196428484692245,-0.12445080606573204,2.206174720995232,0.0,0.8,1.0,0.04089437882734741,0.9404740349451701,Neutral
0.14916227583208033,0.18848392948015902,0.5444228849908472,0.014285444517901386,-0.6366578447359781,2.0133449403075554,0.0,0.6756756756756757,1.0,0.032989869878979255,0.9389868048397271,Neutral
0.18397186446840572,0.1823303467538509,0.5489462437633422,0.012771411681102818,-0.8760548598414503,1.8465632270899612,0.0,0.6575342465753424,1.0,0.033022935757392444,0.9387954310195087,Neutral
-0.05655839251431969,0.27289840307560803,0.5774247393702304,0.04081082047903169,3.170966718232918,6.090899811636854,0.0,0.7333333333333333,1.0,0.043635264144290385,0.9321223427851995,Low Engagement
0.05096059507767527,0.546310471742729,0.5702968190955932,0.0655593715614069,0.23938941588648152,9.156163191582088,0.0,0.6388888888888888,1.0,0.08347177487449678,0.9270557769470744,Low Engagement
0.6234466845974201,1.4729525392908556,0.5389245756312668,0.102439214323215,-7.897097958655808,20.373588587110977,0.0,0.47297297297297297,1.0,0.30133545616797053,0.9155259921744063,Low Engagement
0.8944630381444522,1.5005800846156803,0.5134315899026564,0.11612840378153894,-12.274527811545653,21.625087880682983,0.0,0.30666666666666664,1.0,0.38189423193685285,0.8999641784032186,Low Engagement
